Nr.;Authors;Title;Year;Journal;doi;Abstract;"Is this a conceptual paper? (e.g., discussion creation of IACS data, use of IACS data, etc.) --> if exclusively yes, other variables may not apply; leave those empty!";year(s) of data use;Combination with other datasets?;Importance of IACS data use;Dataset (likely) used;Research question(s), aim(s): verbatim;Methodological purpose of IACS data: verbatim;Content-related purpose of IACS data: verbatim;Indicator(s) generated?;"Raw information from IACS used: geometrical info (plot shape; size; edges) -- separate multiple entries by "";""";Raw info used: location;Raw info used: time;"Raw info used: thematic, other (crop type; land use type; LSE; organic; AES) -- separate multiple entries by "";""";Spatial unit(s) of analysis;Spatial unit(s) of analysis: details, comments;Discussion of IACS dataset: verbatim;comment;
50;['Hanson, Helena I', 'Smith, Henrik G', 'Hedlund, Katarina'];Agricultural management reduces emergence of pollen beetle parasitoids;2015;Agriculture, Ecosystems & Environment;https://doi.org/10.1016/j.agee.2015.03.001;Natural enemies such as predatory arthropods and parasitoids have the potential to suppress pest species and provide the ecosystem service biological control. When predicting the potential of biological control in agriculture it is important to give evidence on how agricultural management influence the abundance and functions of the natural enemies. In this study we examined whether managements practices as insecticide application and different tillage regimes, can influence biological control of a herbivorous pest on oilseed rape (Brassica napus L.). The endoparasitoids Phradis interstitialis Thomson and Tersilochus heterocerus Thomson were studied as they are important for the biological control of the pollen beetle (Meligethes aeneus F.) which is a common pest on oilseed rape in Europe. The number of emerging female parasitoids was quantified by capturing the parasitoids in emergence tents from fields where the oilseed rape plants were grown the previous year. The number of emerging P. interstitialis and T. heterocerus were significantly reduced in insecticide treated fields, but the tillage regimes had no effect on the number of emerging females of either parasitoid species. We conclude that when predicting the biological control potential by pollen beetle parasitoids in agricultural landscapes it is important to consider insecticide treatment of former oilseed rape fields as that can influence population densities at the landscape scale the following year.;;2009;yes;major;"GSAA (agricultural parcel; plot)";The focus of this study was to determine how the emergence rates of pollen beetle parasitoids are affected by insecticide applications and different tillage regimes.;To test the effects of soil management and pesticide application on emerging parasitoids the study was designed to include fields that had oilseed rape the previous year, as the parasitoids overwinter before emergence. ;Fields with winter oilseed rape, in 2009, were selected using map information from the IACS database ;no;no;yes;no;"crop type; land use type";plot/block;;none;;
19;['Williams, Alwyn', 'Hedlund, Katarina'];Indicators and trade-offs of ecosystem services in agricultural soils along a landscape heterogeneity gradient;2014;Applied Soil Ecology;https://doi.org/10.1016/j.apsoil.2014.01.001;"Soil functions can be classified as supporting (nutrient cycling) and provisioning (crop production) ecosystem services (ES). These services consist of multiple and dynamic functions and are typically assessed using indicators, e.g. microbial biomass as an indicator of supporting services. Agricultural intensification negatively affects indicators of soil functions and is therefore considered to deplete soil ES. It has been suggested that incorporating leys into crop rotations can enhance soil ES. We examined this by comparing indicators of supporting soil services – organic carbon, nitrogen, water holding capacity and available phosphorous (carbon storage and nutrient retention); net nitrogen mineralisation rate and microbial biomass (nutrient cycling and retention) – in barley fields, leys and permanent pastures along a landscape heterogeneity gradient (100, 500 and 1000m radii). In addition, barley yields (provisioning service) were analysed against these indicators to identify trade-offs among soil services. Levels of most indicators did not differ between barley and ley fields and were consistently lower than in permanent pastures. Leys supported greater microbial biomass than barley fields. Landscape heterogeneity had no effect on the indicators or microbial community composition. However, landscape heterogeneity correlated negatively with yield and soil pH, suggesting that soils in heterogeneous landscapes are less fertile and therefore have lower yields. No trade-offs were found between increasing barley yield and the soil indicators. The results suggest that soil ES are determined at the field level, with little influence from the surrounding landscape, and that greater crop yields do not necessarily come at the expense of supporting soil services.";;2011;yes;major;"GSAA (agricultural parcel; plot)";The aim of this study was to compare soil ecosystem services within spring barley (Hordeum vulgare L.) fields, leys and permanent pastures, and if the services were affected by surrounding landscape heterogeneity (measured at three spatial scales: 100 m, 500 m and 1000 m radii). ;"Farms were selected for sampling based on their surrounding landscape heterogeneity, following a previously published protocol (Rusch et al., 2013; Williams and Hedlund, 2013).";"surrounding landscape
heterogeneity,";yes;"plot shape; size";yes;no;"crop type; land use type";farm;;Landscape evaluation with 100m radius not possible: The data at 100 m radius was overly biased by the field on which it was centred. For example, each landscape centred on a pasture had a very high PC100 value, as most of the surrounding landscape at 100 m radius was comprised of that pasture.;;
62;['Olsson, E Gunilla A', 'Kerselaers, Eva', 'Kristensen, Lone Søderkvist', 'Primdahl, Jørgen', 'Rogge, Elke', 'Wästfelt, Anders'];Peri-Urban Food Production and Its Relation to Urban Resilience;2016;Sustainability;http://dx.doi.org/10.3390/su8121340;Food production on the urban-rural fringe is under pressure due to competing land uses. We discuss the potential to improve resilience for urban-rural regions by enhancing food production as part of multifunctional land use. Through studies of peri-urban land in the regions of Gothenburg (Sweden), Copenhagen (Denmark) and Gent (Belgium), recent developments are analysed. Arable farming has been declining since 2000 in all three areas due to urban expansion and recreational land use changes. In city plans, networks of protected areas and green spaces and their importance for human wellbeing have been acknowledged. Policies for farmland preservation in peri-urban settings exist, but strategies for local food production are not expressed in present planning documents. Among the diversity of peri-urban agricultural activities, peri-urban food production is a developing issue. However, the competing forms of land use and the continuing high dependence of urban food on global food systems and related resource flows reduces peri-urban food production and improvements in urban food security. The positive effects of local food production need to be supported by governance aiming to improve the urban-rural relationship. The paper discusses the resilience potential of connecting urban-rural regions and re-coupling agriculture to regional food production.;;2001-2013;no;major;"GSAA (agricultural parcel; plot)";"In order to meet the overriding aim, we pose the following research questions:
(1) What land use changes are occurring on agricultural land in peri-urban areas?
(2) What is the state-of-the-art regarding peri-urban food production?
(3) To what extent is multifunctional peri-urban food production occurring?
(4) What kinds of governance mechanisms are being used to support peri-urban food production as
a part of multifunctionality?
(5) How can peri-urban agriculture link urban and rural regions and increase their resilience?";"""to identify [land use] changes during the last 15 years""; After analysing these data, they were used as the starting point for a group discussion with the stakeholders";For the Hisingen part of Gothenburg, the Swedish case study area, the information on agricultural land use changes on the periphery of the city was collected via the Swedish land parcel system [39 ] to identify changes during the last 15 years [ 40]. [...] Data on changes in the number of farms, farmland area, farm type and crops grown were based on national agricultural statistics and the Flemish version of the European land parcel identification system.;no;no;yes;yes;"crop type; land use type; organic";farm;;;;
192;['Kone?ná, Jana', 'Karásek, Petr', 'Fu?ík, Petr', 'Podhrázská, Jana', 'Pochop, Michal', 'Ryšavý, Stanislav', 'Hanák, Roman'];Integration of soil and water conservation measures in an intensively cultivated watershed - a case study of Jihlava river basin (Czech Republic);2017;European Countryside;http://dx.doi.org/10.1515/euco-2017-0002;Reduction of nitrogen and phosphorus inputs into surface waters from nonpoint agricultural sources requires targeted application of differentiated measures. In the study focused on soil and water conservation in the Jihlava river basin upstream of the Dalešice reservoir, we identified areas at potential risk of soil erosion, elevated infiltration and nutrient leaching, tile-drained areas and vulnerable riparian zones of water bodies. We then designed a system of complex protective measures for this river basin in more variants, and their effectiveness was estimated using simple empirical model calculations and research findings. Application of the measures defined by optimal variant 3 in the studied watershed could lead to reduction of the soil erosion effects on the surface water quality by 26.5 %, with simultaneous reduction of the amount of washed out total nitrogen by 22.8 %. The results of our study constitute a partial component of the Qualitative Model of the Jihlava River Basin and they were provided for use to the Vyso?ina Region authorities and the State Land Office.;;2012-2013;yes;major;"LPIS (reference parcel; block)";"This paper presents analysis of the sources of nonpoint agricultural pollution in the catchments, principles of joint soil and water conservation, and results of efficiency evaluation of designed measures aiming to reduce soil erosion and nitrogen leaching
from intensively cultivated land.";" Calculate variables to characterize agricultural parcels; The effects of inappropriate transformation of riparian zones to arable land were not quantified separately, but these zones were included into the calculation of the soil loss by water erosion";"Intensive agricultural management of riparian zones close to water bodies may lead to direct contamination of surface waters by soil particles (mechanically or by surface runoff), by applying fertilizers or pesticides close to the water course, or by grazing in riparian zones or spring areas, particularly during the periods of saturated soil profile. These risk areas were delimited in the study by analysing the distance of borders of arable land blocks and pastures (according to Land Parcel Identification System; LPIS – available in http://eagri.cz/public/app/lpisext/lpis/verejny/) from the banks of water bodies";yes;edges;yes;yes;land use type;plot/block;;;;
18;['Pinter, Monika', 'Kirner, Leopold'];Strategies of disadvantaged mountain dairy farmers as indicators of agricultural structural change: A case study of Murau, Austria;2014;Land Use Policy;https://doi.org/10.1016/j.landusepol.2013.12.007;The decline in the number of farms, seen as one of the main dimensions of agricultural structural change, is presumed to predominantly take place in areas with farming difficulties, such as the disadvantaged European Alpine mountain regions. Especially regarding dairy farms, facing profound changes due to pending EU policy reforms, many questions remain unanswered concerning structural change patterns. This paper presents a follow-up qualitative study that for the first time visualizes a pattern of farm household strategies among Austrian dairy farmers in a specific particularly disadvantaged mountain region. The pattern contains disengaging farms, professionalizing farms, and three differing types of stable reproduction farms. The examination shows that this revealed typology provides a suitable framework for the ex ante indication of agricultural structural change.;;"2011; 2012";yes;minor;unclear; In order to gain a more specific and precise trend analysis for this specific group of farmers, this study provides an in-depth qualitative follow-up examination of the main study of Krammer et al. (2012), with the aim of mapping the farmers’ own appraisal of their family farms’ future of this specific group of farmers and of illustrating a pattern of their reactionary strategic approaches to their future farming activities (farm household strategies);"The mountain family farms for the interviews were selected by
way of a targeted sample of the dairy farmers registered in the
Integrated Administration and Control System (IACS) during the
12-month period in 2011/2012, stratified by the following criteria";"stratified by the following criteria:
- The dairy farmers owned delivery and/or direct sales quota in
the 12-month period 2011/2012; no differentiation was made
concerning the amount of collected or sold milk.
- Half of the interviewees are farmers from MFC category 3 and half
from MFC category 4 farms.
- In order to precisely categorize the interviewed farmers either as
“young” or “aged,” only principal farm operators younger than 42
years and older than 48 years were eligible. The age disparity was
chosen in order to build two clearly distinguished contrast groups
that could be compared with each other during analysis. The age
of 45 years was selected as starting point (45 ± 3 years) in order
to incorporate the succession effect that begins to matter at that
age (Calus et al., 2008). In each case, 15 farmers were chosen.
- And only farms located in the district of Murau, Austria, were
taken into consideration, in order to illustrate factors that are
related to geographical concentration (see Section “Study area
– the district of Murau”).";no;no;no;no;;farm;;;;
2;['Carrié, Romain', 'Lopes, Maïlys', 'Ouin, Annie', 'Andrieu, Emilie'];Bee diversity in crop fields is influenced by remotely-sensed nesting resources in surrounding permanent grasslands;2018;Ecological Indicators;https://doi.org/10.1016/j.ecolind.2018.03.054;Landscape heterogeneity is an important driver of biodiversity in agroecosystems. However, the functional heterogeneity of agricultural landscapes, taking into account the different resources that habitat patches can provide to species, has rarely been studied. In this study, we explored the effect of landscape-scale nest availability provided by permanent grasslands on wild bee communities. Wild bees were sampled in 43 cereal fields in south-western France differing in the surrounding proportion of permanent grasslands. Using remote sensing tools, we measured two parameters of grassland structure known to locally influence bee nest density (slope and proportion of sparse vegetation). We found that mean slope of surrounding grasslands was the factor that most positively influenced bee richness, abundance and trait distribution in bee communities. We also found that mean slope of surrounding grasslands had a better predictive power of bee community structure than the proportion of permanent grasslands. Ground-nesting species, species with high dispersal capacities and species with a generalist diet were positively affected by the availability of sloped ground in the surrounding permanent grasslands. Only bee species with specialized flower requirements responded positively to the proportion of sparse vegetation in grasslands. Our results suggest that landscape-scale availability of nesting resources provided by grasslands affects bee communities in agricultural landscapes and can help sustain functionally diverse bee assemblages. Using simple remote sensing tools, this study highlights the importance of considering nesting resources in agricultural landscapes to maintain wild bee diversity in farmlands.;;2013-2014;yes;minor;"GSAA (agricultural parcel; plot)";"we first aimed to determine whether the availability of remotely-sensed nesting sites in surrounding permanent grasslands could explain changes in the local diversity of wild bees captured in crop fields. A second objective was to determine whether the two in-
dices of landscape-scale nesting resources in permanent grasslands were better proxies of farmland bee diversity than the proportion of permanent grasslands. ";Preselection of sampling sites was based on French agricultural land cover data;we selected 43 cereal fields (28 in 2013 and 15 in 2014, consisting of wheat and barley fields, Fig. 1b) differing in the proportion of semi-natural habitats within a 500-m buffer centered on the field border.;no;;yes;no;"crop type; land use type";plot/block;4 bee sampling points per block/plot;;;
21;['Tetteh, Gideon Okpoti', 'Gocht, Alexander', 'Conrad, Christopher'];Optimal parameters for delineating agricultural parcels from satellite images based on supervised Bayesian optimization;2020;COMPUTERS AND ELECTRONICS IN AGRICULTURE;10.1016/j.compag.2020.105696 ;Accurate spatial information of agricultural parcels is fundamental to any system used in monitoring greenhouse gas emissions, biodiversity developments, and nutrient loading in agriculture. The inefficiency of the traditional methods used in obtaining this information is increasingly paving the way for Remote Sensing (RS). The Multiresolution Segmentation (MRS) algorithm is a well-known method for segmenting objects from images. The quality of segmentation depends on the a priori knowledge of which scale, shape and compactness values to use. With each parameter taking a varied range of input values, this research developed an automated approach for identifying the optimal parameter set without testing all possible combinations. At the core of our approach is Bayesian optimization, which is a sequential model-based optimization (SMBO) method for maximizing or minimizing an objective function. We maximized the Jaccard index, which is a measure that indicates the similarity between segmented agricultural objects and their corresponding reference parcels. As the optimal parameter combination varies between different agricultural landscapes, they were determined at a grid resolution of 10 km. Mono-temporal Sentinel-2 images covering Lower Saxony in Germany were tiled to these grids and the optimal parameters were subsequently identified for each tiled grid. The optimal parameter combinations identified over the grids varied considerably, which indicated that a single parameter combination would have failed to achieve optimal segmentation. We found that the quality of segmentation correlated with the size of agricultural parcels. Under-segmentation was largely minimized but in areas with a predominant agricultural land-use, it was unavoidable. In agricultural parcels composed of heterogeneous pixels, over-segmentation was prevalent. Our approach outperformed other segmentation optimization methods existing in the literature. PU  - ELSEVIER SCI LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND;;2019;yes;major;"GSAA (agricultural parcel; plot)";This research aims to develop an efficient approach to identify the optimal parameters needed to segment agricultural parcels using the MRS algorithm. [i.e.: setting optimal parameters for Remote Sensing with Sentinel];"IACS was used as validation data; Empirical segmentation evaluation (Zhang, 1996) was adopted for
this research. It involves the computation of the geometric discrepancy
or similarity between the LPIS and each segmentation layer. ";"For the first test, we used the MRS parameters established for tiles in May of
2018 to segment cloud-free images of those same tiles in May of 2019
and then used the LPIS data of 2019 to calculate the overall segmen-
tation quality (OSQ) per tile. For the second test, we applied our
Bayesian optimization approach to optimally segment those cloud-free
images in May of 2019 using the LPIS data of 2019 as a reference and
subsequently identified the OSQ of the optimal parameter combination
per tile.";no;"plot shape; edges";yes;no;crop type;plot/block;Invekos fields are partly merged to larger units with identical crops (e.g., three winter wheat fields next to each other are joint in one unit);"- The LPIS has some drawbacks, which limits its use in an
effective agricultural management scheme. Firstly, the LPIS does not
record all agricultural parcels especially those with large grassland
shares used for purposes like nature conservation and horse farming.
This makes it difficult to monitor those parcels. Secondly, even though
the LPIS is increasingly becoming available as open data in some EU
countries, there is still restricted access in many countries including
Germany. Thirdly, LPIS comes with a time lag, which makes in-season
monitoring of parcels infeasible. In-season monitoring is critical to understanding any emerging threats to biodiversity on agricultural
lands in near real-time so that timely action can be taken to deal with
those threats. Additionally, using LPIS requires a lot of pre-processing
effort due to different technical implementations between different
regions and countries within the EU. These drawbacks inhibit various
agricultural bodies including public institutions from making use of the
LPIS as source data for developing real-world agronomic and environ-
mental applications
- The inability of LPIS to correctly capture the different agricultural parcels
present in that area was the negative driving force behind the low OSQ.
Therefore, the low OSQ can largely be attributed to the error in LPIS
and not the segmentation.
- The most prominent spatial database of agricultural parcels within the European Union (EU)
called the Land Parcel Identification System (LPIS) suffers certain
drawbacks such as the inadequate coverage of all agricultural parcels,
restricted access to the data, the time lag that comes with the data, and the different implementation methods used by the different EU coun-
tries to generate the data leading to different sources of error.
- LPIS is generated based on very high-re-solution orthoimages with the spatial resolution being at least 1 m. We used Sentinel-2, which has a lower spatial resolution. With very high-
resolution orthoimages like those used to create the LPIS, our Bayesian
optimization approach can potentially be used to generate segments
with similar geometric accuracy as the LPIS.";;
14;['Rundlöf, Maj', 'Lundin, Ola', 'Bommarco, Riccardo'];Annual flower strips support pollinators and potentially enhance red clover seed yield;2018;Ecology and Evolution;http://dx.doi.org/10.1002/ece3.4330;Ecological intensification provides opportunity to increase agricultural productivity while minimizing negative environmental impacts, by supporting ecosystem services such as crop pollination and biological pest control. For this we need to develop targeted management solutions that provide critical resources to service?providing organisms at the right time and place. We tested whether annual strips of early flowering phacelia Phacelia tanacetifolia support pollinators and natural enemies of seed weevils Protapion spp., by attracting and offering nectar and pollen before the crop flowers. This was expected to increase yield of red clover Trifolium pratense seed. We monitored insect pollinators, pests, natural enemies and seed yields in a total of 50 clover fields along a landscape heterogeneity gradient, over 2 years and across two regions in southern Sweden. About half of the fields were sown with flower strips of 125–2,000 m2. The clover fields were pollinated by 60% bumble bees Bombus spp. and 40% honey bees Apis mellifera. The clover seed yield was negatively associated with weevil density, but was unrelated to bee species richness and density. Flower strips enhanced bumble bees species richness in the clover fields, with the strongest influence in heterogeneous landscapes. There were few detectable differences between crop fields with and without flower strips. However, long?tongued bumble bees were redistributed toward field interiors and during phacelia bloom honey bees toward field edges. Clover seed yield also increased with increasing size of the flower strip. We conclude that annual flower strips of early flower resources can support bumble bee species richness and, if sufficiently large, possibly also increase crop yields. However, clover seed yield was mainly limited by weevil infestation, which was not influenced by the annual flower strips. A future goal should be to design targeted measures for pest control.;;2009-2010;yes;minor;"GSAA (agricultural parcel; plot)";Here we explored whether adding a flower resource, which starts to flower before and then co-flowers with the target crop, affects species richness and abundance of pollinating insects, pest abundance and biological control, and yield. ;"the landscapes surrounding the clover seed fields were char-
acterized within a 1-km radius using digital land use data from the
Integrated Administration and Control System (IACS). Proportion of
land covered by annual crops (51%, 14%–76% (mean, min–max)) and
seminatural habitats (5.4%, 0.99%–18%) varied across landscapes,
but the proportions of these habitat types did not differ between
fields with a flower strip and control fields";"We tested the hypotheses that […]  (c) the addition of a flower strip has a larger
positive influence on pollination and pest control in simple landscape
because service providers lack other alternative resources; ";no;no;yes;no;"crop type; land use type";landscape;landscape: 1km radius around a clover field;;;
120;['Pelletier, Charlotte', 'Webb, Geoffrey I', 'Petitjean, François'];Temporal Convolutional Neural Network for the Classification of Satellite Image Time Series;2019;Remote Sensing;http://dx.doi.org/10.3390/rs11050523;"Latest remote sensing sensors are capable of acquiring high spatial and spectral Satellite Image Time Series (SITS) of the world. These image series are a key component of classification systems that aim at obtaining up-to-date and accurate land cover maps of the Earth’s surfaces. More specifically, current SITS combine high temporal, spectral and spatial resolutions, which makes it possible to closely monitor vegetation dynamics. Although traditional classification algorithms, such as Random Forest (RF), have been successfully applied to create land cover maps from SITS, these algorithms do not make the most of the temporal domain. This paper proposes a comprehensive study of Temporal Convolutional Neural Networks (TempCNNs), a deep learning approach which applies convolutions in the temporal dimension in order to automatically learn temporal (and spectral) features. The goal of this paper is to quantitatively and qualitatively evaluate the contribution of TempCNNs for SITS classification, as compared to RF and Recurrent Neural Networks (RNNs) —a standard deep learning approach that is particularly suited to temporal data. We carry out experiments on Formosat-2 scene with 46 images and one million labelled time series. The experimental results show that TempCNNs are more accurate than the current state of the art for SITS classification. We provide some general guidelines on the network architecture, common regularization mechanisms, and hyper-parameter values such as batch size; we also draw out some differences with standard results in computer vision (e.g., about pooling layers). Finally, we assess the visual quality of the land cover maps produced by TempCNNs.";;2006;yes;major;"GSAA (agricultural parcel; plot)";In this paper, we extensively study the use of TempCNNs [temporal convolutional NN]—where convolutions are applied in the temporal domain—for the classification of high-resolution SITS [Satellite Image Time Series];"The reference data are randomly split into two independent datasets at the polygon level
where 60% of the data is used for training the classification algorithms and 40% is used for testing.
To statistically evaluate the performance of the different algorithms, this splitting operation is repeated
five times [ 62 ]. Hence, each algorithm is evaluated on five different train/test splits. ";"The reference data (IACS) is used to classify remote sensing imagery;  The result is a land cover map with many crop classes; The reference data come from three sources: (1) farmer’s declaration from 2006 (Registre Parcellaire
Graphique in French), (2) field campaigns performed during 2006, and (3) a reference map obtained
with a semi-automatic procedure [ 61 ].";yes;no;yes;no;crop type;plot/block;;;;
81;['Andersson, Georg K S', 'Rundlöf, Maj', 'Smith, Henrik G'];Organic Farming Improves Pollination Success in Strawberries;2012;PLoS One;http://dx.doi.org/10.1371/journal.pone.0031599;Pollination of insect pollinated crops has been found to be correlated to pollinator abundance and diversity. Since organic farming has the potential to mitigate negative effects of agricultural intensification on biodiversity, it may also benefit crop pollination, but direct evidence of this is scant. We evaluated the effect of organic farming on pollination of strawberry plants focusing on (1) if pollination success was higher on organic farms compared to conventional farms, and (2) if there was a time lag from conversion to organic farming until an effect was manifested. We found that pollination success and the proportion of fully pollinated berries were higher on organic compared to conventional farms and this difference was already evident 2–4 years after conversion to organic farming. Our results suggest that conversion to organic farming may rapidly increase pollination success and hence benefit the ecosystem service of crop pollination regarding both yield quantity and quality.;;2009;yes;major;"GSAA (agricultural parcel; plot)";The main questions were (i) is the pollination success in strawberries higher on organic compared to conventional farms and (ii) is there a time-lag effect in pollination success since transition to organic farming.;Circular landscapes with a radius of 1 km around farms were digitized using ArcGIS 9.2 and characterized with information from the Integrated Administration and Control System, IACS, a database for agricultural land-use in Sweden administrated by the Swedish Board of Agriculture.;We described land-use intensity using an index calculated as the proportion of annual crops and ley of all farmland and forest within the circular landscape, excluding e.g. urban areas and lakes;yes;no;yes;no;"crop type; land use type; organic";landscape;1km radius around farm;;;
131;['Schwaller, Christoph', 'Keller, Yvonne', 'Helmreich, Brigitte', 'Drewes, Jörg E'];Estimating the agricultural irrigation demand for planning of non-potable water reuse projects;2021;Agricultural Water Management;https://doi.org/10.1016/j.agwat.2020.106529;Water reclamation and reuse represent a promising approach to mitigate water related use conflicts especially in the agricultural sector where challenges with regard to water management are increasingly exacerbated by the effects of climate change. However, for the conceptualization and implementation of non-potable water reuse projects for agricultural purposes a comprehensive understanding of the irrigation requirements is required. But this information is frequently not readily available. Within the scope of this study modelling based on the approach implemented within the CROPWAT 8.0 software was applied in order to determine the irrigation requirements for an agricultural area in Gochsheim, Lower Franconia (Germany) since locally recorded data were missing, inconsistent or incomplete. The model was validated not only by available locally recorded groundwater extraction rates for agricultural irrigation purposes but also by comparison with findings from the literature. Based thereon, the annual and daily crop specific net irrigation requirements of ten commonly cultivated crops were computed – those comprised celery, lettuce, onions, potatoes, cabbage and others. The crops showed crop-specific typical annual as well as daily net irrigation requirements, e.g. celery with an annual and daily demand of 228–602 mm and 5–20 mm, respectively. Particularly important for the planning of a water reuse project was the determination of the overall daily peak gross irrigation requirement. The modelling approach revealed a value of 14.3 mm/day for this area, which represents the technically as well as economically most feasible benchmark, and a good approximation to the historical recorded overall daily peak gross irrigation demand.;;2005-2019;yes;major;"GSAA (agricultural parcel; plot)";Therefore, within the scope of this study a modelling approach was developed to determine the crop specific net irrigation demands as well as the overall annual, monthly and daily gross irrigation requirements for the local practice of agriculture, using the town of Gochsheim as a case study.;"Calculating crop shares; Inferring about crop shares before 2005; Parametrize model";"For that purpose, it was necessary to weight the respective crop specific
gross irrigation requirements according to the respective shares of the
fields cultivated with the corresponding crops in the total agricultural
area in Gochsheim in a specific year (Table S2, supplemental informa-
tion). [...]
 The Bavarian State Research Center for Agriculture (‘Bayerische
Landesanstalt für Landwirtschaft’) provided information on area-
specific/sectoral agricultural use in form of data extracted from the
‘Integrated administration and control system (IACS)’. [...]
hus, based on IACS data,
assumptions had been made on the cultivated crops and their corre-
sponding area fractions (for a detailed overview of the cultivated crops
and their respective area fractions for the period from 2005 to 2019 refer
to Table S2 in supplemental information).";no;no;no;yes;crop type;municipality;;" From 2016 to 2019, various types of vegetables such as cabbage, lettuce, sugar beet, onions, potatoes and ornamental plants were grown. Prior to 2016, no distinction was made between the certain types of vegetables. It was merely given that the agricultural land was mainly cultivated with vegetables. However, it was unknown which specific crops have been grouped together under the collective term vegetables. Sugar beets, ornamental plants and potatoes were also cultivated, and in the years before 2012 aromatic, medicinal and culinary plants such as herbs. For the period prior to the year 2005, no information was available regarding the agricultural land management. Thus, based on IACS data, assumptions had been made on the cultivated crops and their corresponding area fractions (for a detailed overview of the cultivated crops and their respective area fractions for the period from 2005 to 2019 refer; The approach for the determination of this value utilized in this study can also be easily as well as cost-effectively applied to other comparable projects since only a limited and usually well available data set (meteorological, soil and crop data) is required [CROP DATA = IACS]";;
54;['Kersebaum, K C', 'Steidl, J', 'Bauer, O', 'Piorr, H.-P'];Modelling scenarios to assess the effects of different agricultural management and land use options to reduce diffuse nitrogen pollution into the river Elbe;2003;Physics and Chemistry of the Earth;https://doi.org/10.1016/S1474-7065(03)00090-1;The European Water Framework Directive requires the development of measure programs, management plans and strategies to avoid the water pollution with nutrients and other harmful matters. In a case study model calculations were used to evaluate different options of land use, agricultural and water management to reduce nitrogen immissions and enhance water and nutrient retardation in the Elbe river basin. The model scenarios consider measures which are recommended to reduce nitrogen pollution like organic farming, conversion of arable land into pasture, extensivation of grassland production and set aside. Additionally the re-wetting of formerly drained areas by water management is considered where applicable. Although there are distinct differences in nitrogen leaching between the different agricultural land use and management options, the regional effects of the scenarios on the emissions from the root zone are only fair (max. 13%) because of their limited extent of application. But the targeted application of the measures in zones of high river impact risk derived from groundwater residence times and decay calculations lead to a distinct reduction of the nitrogen input into the river flow system. The combination of water management and extensivation of agricultural production can achieve a reduction of 22% (4.400 t/a) of the nitrogen immissions originated from agriculture. Areas with a high reduction potential for nitrogen immission can be identified. This can be a relevant information for the development of measure programs within the water framework directive.;;2003;yes;major;unclear;The aim of this case study was to assess potential reduction effects of several mitigation strategies on nitrogen emissions from agriculture and their regional effects on nitrogen immissions into the Elbe river considering a differentiated river impact risk of agricultural used sites.;The present situation for the agricultural production within the agricultural used areas was estimated using farm management data from 1998 of the state office of nutrition and agriculture (InVeKoS, 1998). Then, parametrize model;"Management and land use options were selected, which are in discussion to be suitable either for the reduction of nitrogen leaching or the retention of nitrogen within the catchments by water management. In this context, the agricultural options of the extensivation of formerly intensively managed pasture, the set-aside of arable land (defined as non-fertilised grassland) and the conversion of arable land into pasture were chosen. Within the arable land the option of organic farming is compared to a conventional baseline
For arable land, typical site specific crop rotations (seven year rotations) for the different production systems were defined considering cultivation aspects, the average statistical livestock density and the statistical distribution of arable crops within the area. ";no;no;yes;no;"crop type; land use type; organic";sub-catchment;Because the use of this data is restricted by data protection regulations, a statistical analysis was made for 83 sub-catchments to aggregate farm information to an area of at least 50 km 2 ;Because the use of this data is restricted by data protection regulations, a statistical analysis was made for 83 sub-catchments to aggregate farm information to an area of at least 50 km 2 ;;
234;['Schmid, Erwin', 'Sinabell, Franz'];On the choice of farm management practices after the reform of the Common Agricultural Policy in 2003;2007;Journal of Environmental Management;https://doi.org/10.1016/j.jenvman.2005.12.027;The Common Agricultural Policy (CAP) was fundamentally reformed in 2003. From 2005, farmers will receive decoupled income support payments instead of production premiums if basic standards for environment, food safety, animal health and welfare are met. Farmers are likely to adjust production and management practices to the new policy framework. We describe how this reform fits into the EU strategy of making agricultural production more environmentally friendly by concentrating on the financial aspects of the reforms. Using an agricultural sector model for Austria, we show that the reform will further decrease agricultural outputs, reduce farm inputs, lessen nitrogen surpluses and make environmentally friendly management practices more attractive for farmers.;;"2003; 2008";yes;major;unclear;We want to evaluate whether important policy goals of the 2003 CAP reform will be attained. Our hypotheses are that by lowering production incentives, the reform will (i) reduce outputs of agricultural commodities, (ii) make it profitable to use less environmentally relevant inputs, and (iii) induce more farmers to adopt extensive farming practices;"Parametrize model with IACS; The fact that single farm IACS data are used for the calibration of the base scenario model guarantees that simulated combinations of sub-activities and management options reflect regional responses in a realistic manner.";"The advantage of PASMA over other agricultural sector models is that agri-environmental programmes and national support schemes are incorporated in a very detailed manner. Data from the Austrian Agricultural Information System (ALFIS), the Integrated Administration and Control System (IACS), the Economic Agricultural Account (EAA), the latest Agricultural Structural Census, the Standard Gross Margin Catalogue, and Standard Farm Labour Estimates provide necessary information on resource and production endowments for 40 regional and structural production units.
[details unclear]";no;no;yes;yes;unclear;farm;;;"they probably used the crop type information;";
