"","word","freq"
"proportion","proportion",11
"future","future",11
"catchments","catchments",11
"higher","higher",10
"multiple","multiple",10
"studied","studied",10
"groundwater","groundwater",10
"value","value",10
"context","context",10
"system","system",10
"mapping","mapping",10
"type","type",10
"arable","arable",10
"spring","spring",10
"organic","organic",10
"von","von",10
"conservation","conservation",10
"habitat","habitat",10
"watershed","watershed",10
"will","will",10
"influence","influence",10
"structural","structural",10
"account","account",10
"ground","ground",10
"input","input",10
"without","without",9
"plots","plots",9
"years","years",9
"availability","availability",9
"impacts","impacts",9
"compared","compared",9
"economic","economic",9
"practices","practices",9
"soils","soils",9
"remote","remote",9
"research","research",9
"sensing","sensing",9
"total","total",9
"risk","risk",9
"europe","europe",9
"support","support",9
"increased","increased",9
"negative","negative",9
"success","success",9
"drainage","drainage",9
"suggest","suggest",9
"annual","annual",9
"structure","structure",9
"lower","lower",9
"pest","pest",9
"scales","scales",9
"community","community",9
"wild","wild",9
"national","national",9
"values","values",9
"connected","connected",9
"especially","especially",9
"since","since",9
"farms","farms",9
"methods","methods",9
"wetland","wetland",9
"plantations","plantations",9
"mowing","mowing",9
"kettle","kettle",9
"benefit","benefit",8
"difference","difference",8
"general","general",8
"knowledge","knowledge",8
"main","main",8
"options","options",8
"paper","paper",8
"provides","provides",8
"imagery","imagery",8
"maize","maize",8
"climatic","climatic",8
"integrated","integrated",8
"net","net",8
"particularly","particularly",8
"regional","regional",8
"spatially","spatially",8
"accuracy","accuracy",8
"algorithm","algorithm",8
"barley","barley",8
"levels","levels",8
"monitoring","monitoring",8
"overall","overall",8
"satellite","satellite",8
"surface","surface",8
"european","european",8
"existing","existing",8
"growing","growing",8
"identified","identified",8
"including","including",8
"optimal","optimal",8
"applied","applied",8
"current","current",8
"intensification","intensification",8
"differences","differences",8
"population","population",8
"respectively","respectively",8
"strategies","strategies",8
"tradeoffs","tradeoffs",8
"die","die",8
"sweden","sweden",8
"year","year",8
"planning","planning",8
"set","set",8
"reduction","reduction",8
"taking","taking",8
"series","series",8
"analyses","analyses",8
"wetlands","wetlands",8
"inventories","inventories",8
"cropping","cropping",7
"similar","similar",7
"austria","austria",7
"average","average",7
"cropland","cropland",7
"explicit","explicit",7
"classes","classes",7
"optical","optical",7
"performance","performance",7
"aim","aim",7
"cap","cap",7
"categories","categories",7
"database","database",7
"detection","detection",7
"improve","improve",7
"highly","highly",7
"recent","recent",7
"saxony","saxony",7
"sources","sources",7
"adjacent","adjacent",7
"strip","strip",7
"dominated","dominated",7
"relationship","relationship",7
"across","across",7
"germany","germany",7
"modelled","modelled",7
"present","present",7
"requirements","requirements",7
"among","among",7
"auf","auf",7
"den","den",7
"loads","loads",7
"properties","properties",7
"seminatural","seminatural",7
"varied","varied",7
"communities","communities",7
"season","season",7
"surrounding","surrounding",7
"maps","maps",7
"densities","densities",7
"yields","yields",7
"component","component",7
"clover","clover",7
"order","order",7
"spatiotemporal","spatiotemporal",7
"spread","spread",7
"wcr","wcr",7
"stressors","stressors",7
"application","application",6
"develop","develop",6
"estimated","estimated",6
"relatively","relatively",6
"threshold","threshold",6
"conducted","conducted",6
"dry","dry",6
"reduce","reduce",6
"acquired","acquired",6
"evaluate","evaluate",6
"objective","objective",6
"range","range",6
"accurate","accurate",6
"importance","importance",6
"process","process",6
"decline","decline",6
"habitats","habitats",6
"meadows","meadows",6
"public","public",6
"simple","simple",6
"assess","assess",6
"functions","functions",6
"impact","impact",6
"locally","locally",6
"reproductive","reproductive",6
"positively","positively",6
"understand","understand",6
"alternative","alternative",6
"density","density",6
"farmland","farmland",6
"responses","responses",6
"affected","affected",6
"beetle","beetle",6
"correlated","correlated",6
"pollen","pollen",6
"pollinator","pollinator",6
"assessments","assessments",6
"beetles","beetles",6
"complex","complex",6
"visitors","visitors",6
"inventory","inventory",6
"map","map",6
"period","period",6
"reference","reference",6
"observed","observed",6
"better","better",6
"erosion","erosion",6
"supporting","supporting",6
"periurban","periurban",6
"leaching","leaching",6
"targeted","targeted",6
"seed","seed",6
"learning","learning",6
"daily","daily",6
"development","development",6
"pollution","pollution",6
"methodology","methodology",6
"grey","grey",6
"partridge","partridge",6
"iimf","iimf",6
"optimization","optimization",5
"parcels","parcels",5
"propose","propose",5
"benefits","benefits",5
"combining","combining",5
"considered","considered",5
"highest","highest",5
"multispectral","multispectral",5
"ndvi","ndvi",5
"previous","previous",5
"rate","rate",5
"sentinel","sentinel",5
"springsown","springsown",5
"strong","strong",5
"help","help",5
"modeling","modeling",5
"policies","policies",5
"required","required",5
"scenario","scenario",5
"characteristics","characteristics",5
"contribution","contribution",5
"crucial","crucial",5
"forest","forest",5
"often","often",5
"radar","radar",5
"random","random",5
"small","small",5
"various","various",5
"combination","combination",5
"create","create",5
"global","global",5
"identification","identification",5
"parcel","parcel",5
"selected","selected",5
"significantly","significantly",5
"suitable","suitable",5
"view","view",5
"developed","developed",5
"hence","hence",5
"although","although",5
"focused","focused",5
"measure","measure",5
"orchard","orchard",5
"supported","supported",5
"typical","typical",5
"evaluated","evaluated",5
"heterogeneous","heterogeneous",5
"assessed","assessed",5
"loss","loss",5
"state","state",5
"bird","bird",5
"gradient","gradient",5
"achieve","achieve",5
"cereals","cereals",5
"modelling","modelling",5
"sustainable","sustainable",5
"affect","affect",5
"ertrag","ertrag",5
"negatively","negatively",5
"oilseed","oilseed",5
"rape","rape",5
"studies","studies",5
"additional","additional",5
"amount","amount",5
"composition","composition",5
"entire","entire",5
"flowering","flowering",5
"hoverflies","hoverflies",5
"calculated","calculated",5
"first","first",5
"frequency","frequency",5
"part","part",5
"dynamics","dynamics",5
"likely","likely",5
"pattern","pattern",5
"case","case",5
"deep","deep",5
"length","length",5
"understanding","understanding",5
"emerging","emerging",5
"enemies","enemies",5
"affects","affects",5
"provisioning","provisioning",5
"therefore","therefore",5
"need","need",5
"networks","networks",5
"urban","urban",5
"lead","lead",5
"farm","farm",5
"factor","factor",5
"mean","mean",5
"parameter","parameter",5
"segmentation","segmentation",5
"ecological","ecological",5
"algorithms","algorithms",5
"network","network",5
"resolutions","resolutions",5
"sits","sits",5
"relevant","relevant",5
"trend","trend",5
"source","source",5
"major","major",5
"pheasant","pheasant",5
"distance","distance",5
"events","events",5
"terrestrial","terrestrial",5
"hole","hole",5
